"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,110481870,51,0,,119425850
2018,110481870,63,50,,119425852
2018,110481870,9,0,,119425851
2018,110481870,8,42,,119425849
2018,110481875,50,43,,119425858
2018,110481877,6,110,,119425859
2018,110481878,6,55,30-AUG-18,119425860
2018,110481905,3,1,,119429581
2018,110481933,25,75,,119433335
2018,110481933,51,0,,119433336
2018,110481933,9,0,,119429609
2018,110481934,20,5,,119425940
2018,110484234,3,3300,,119433349
2018,110481969,10,,,119425994
2018,110489212,16,63,,119429661
2018,110489213,16,63,24-NOV-18,119429662
2018,110481998,20,1247,,119426027
2018,110481997,20,389,,119426026
2018,110484262,29,1,,119433389
2018,110482019,38,50,,119426049
2018,110482167,60,10,,119426241
2018,110482167,64,10,,119426240
2018,110482167,36,10,,119426242
2018,110482167,16,10,,119426243
2018,116449924,20,2157,,127337690
2018,116444336,10,,,127334450
2018,116444336,11,1,,127334452
2018,116444543,30,1,,127338446
2018,116450854,63,214,09-NOV-18,127338856
2018,116455746,63,214,,127335218
2018,116455899,20,13000,,127339080
2018,116459909,19,17,,127331571
2018,116460068,10,,,127339414
2018,116451561,20,800,,127336076
2018,116456446,6,1,,127336087
2018,116460298,38,200,,127336088
2018,116460318,63,80,,127332056
2018,117451109,11,30,,128543607
2018,117451109,10,,,128543606
2018,117451108,13,125,,128543605
2018,116453248,20,612,,127343532
2018,116450915,63,12,,127338937
2018,116451014,13,100,,127331520
2018,116455672,11,1,,127338765
2018,116455672,10,,,127338764
2018,117115731,16,100,,128111700
2018,117115732,16,500,,128111701
2018,117115733,16,900,,128111702
2018,117115735,16,250,,128111704
2018,117115734,16,750,,128111703
2018,117115737,36,198,,128111708
2018,117115736,16,512,,128111706
2018,117115736,26,200,,128111707
2018,117115736,29,896,,128111705
2018,117115737,16,95,,128111709
2018,117115738,16,100,,128111711
2018,117115738,26,400,,128111710
2018,117115740,16,1,,128111713
2018,117115740,26,100,,128111712
2018,117115742,26,100,,128111715
2018,117115743,20,75,,128111717
2018,117115742,16,15,,128111716
2018,117115742,29,100,,128111714
2018,117115745,2,13,,128111719
2018,117115745,43,1,,128111720
2018,117115744,35,20,,128111718
2018,117115747,2,2137,,128111724
2018,117115747,7,620,,128111727
2018,117115747,17,2400,,128111722
2018,117115747,63,50,,128111728
2018,117115747,40,2289,,128111723
2018,117115747,61,1854,,128111725
2018,117115747,8,641,,128111726
2018,117115870,51,0,,128111895
2018,117115870,9,0,,128111896
2018,117231485,12,1400,,128256528
2018,117232521,36,1,,128267815
2018,117232520,36,1,14-MAY-18,128267814
2018,117232407,6,14,,128267692
2018,110480336,20,2000,,119423679
2018,110480439,20,400,,119422006
2018,110480467,10,,,119423857
2018,110480469,10,,,119423860
2018,110480481,13,1,,119423874
2018,110473341,10,,,119423887
2018,110480497,10,,,119428396
2018,110480516,19,70000,,119428417
2018,110481596,38,10,,119425496
2018,110481635,3,1,03-JAN-19,119425540
2018,110481634,3,1,,119429361
2018,110481758,38,19,,119425686
2018,110481780,11,1,,119425721
2018,110479081,63,39,01-JUL-18,119429468
2018,110479081,6,525,01-JUL-18,119429467
2018,110481779,63,39,,119425720
2018,110481779,6,525,,119425719
2018,110481851,6,82,06-AUG-18,119425826
2018,110481850,6,202,,119425825
2018,110481859,20,150,,119425838
2018,110481864,42,500,,119425843
2018,110481867,3,8000,,119425846
2018,110481884,9,0,,119425873
2018,110481884,51,0,,119425872
2018,110481884,20,30,,119425870
2018,110481884,25,1,,119425871
2018,110481886,42,140,,119425875
2018,110481888,10,,,119433297
2018,110481899,7,500,,119425890
2018,110481899,63,1,,119425892
2018,110481899,3,5000,,119433311
2018,110484210,3,5000,04-OCT-18,119433312
2018,110479169,36,249,11-OCT-18,119425904
2018,110481909,36,498,,119433321
2018,110481919,3,20000,,119425917
2018,110481920,3,20000,26-OCT-18,119425918
2018,110481923,63,10,,119425923
2018,110481923,3,4000,,119425922
2018,110484221,3,4000,24-OCT-18,119425924
2018,110481938,20,5,,119425942
2018,110481938,51,0,,119425950
2018,110481938,3,1,,119425948
2018,110479189,9,0,31-OCT-18,119429617
2018,110479189,6,320,31-OCT-18,119425952
2018,110479189,25,1,31-OCT-18,119425953
2018,110481938,9,0,,119425951
2018,110481938,6,320,,119425941
2018,110479189,51,0,31-OCT-18,119425958
2018,110481938,25,1,,119425946
2018,110479189,3,1,31-OCT-18,119425954
2018,110481949,38,170,,119425971
2018,110481952,3,1000,,119425974
2018,110478094,2,9,,119428160
2018,110480235,10,,,119423537
2018,110480424,26,1,,119423798
